year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,product_group,exporter_name,exporter_iso3,importer_name,importer_iso3
2008,40,156,848620,10915.204,33.856,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Austria,AUT,China,CHN
2008,56,156,848620,9.138,0.013,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Belgium,BEL,China,CHN
2008,112,156,848620,20.0,0.174,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Belarus,BLR,China,CHN
2008,124,156,848620,4252.062,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Canada,CAN,China,CHN
2008,208,156,848620,494.792,21.625,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Denmark,DNK,China,CHN
2008,246,156,848620,444.994,1.409,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Finland,FIN,China,CHN
2008,251,156,848620,6640.973,19.739,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,France,FRA,China,CHN
2008,276,156,848620,274547.953,1376.826,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Germany,DEU,China,CHN
2008,344,156,848620,51658.037,163.897,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,"China, Hong Kong SAR",HKG,China,CHN
2008,348,156,848620,6547.84,22.192,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Hungary,HUN,China,CHN
2008,372,156,848620,1359.432,4.576,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Ireland,IRL,China,CHN
2008,376,156,848620,1145.589,3.627,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Israel,ISR,China,CHN
2008,380,156,848620,36693.465,137.709,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Italy,ITA,China,CHN
2008,392,156,848620,603327.748,1863.841,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Japan,JPN,China,CHN
2008,410,156,848620,107732.895,316.059,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Rep. of Korea,KOR,China,CHN
2008,458,156,848620,4375.296,13.852,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Malaysia,MYS,China,CHN
2008,484,156,848620,1.246,0.004,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Mexico,MEX,China,CHN
2008,490,156,848620,87211.434,276.099,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,"Other Asia, nes",S19,China,CHN
2008,528,156,848620,428404.271,1426.346,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Netherlands,NLD,China,CHN
2008,579,156,848620,1.855,0.006,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Norway,NOR,China,CHN
2008,608,156,848620,164.0,0.519,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Philippines,PHL,China,CHN
2008,620,156,848620,747.657,0.212,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Portugal,PRT,China,CHN
2008,643,156,848620,179.231,5.523,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Russian Federation,RUS,China,CHN
2008,702,156,848620,6490.442,20.548,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Singapore,SGP,China,CHN
2008,757,156,848620,15856.458,66.513,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Switzerland,CHE,China,CHN
2008,764,156,848620,69.433,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Thailand,THA,China,CHN
2008,826,156,848620,33399.921,125.394,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,United Kingdom,GBR,China,CHN
2008,842,156,848620,648098.586,1936.451,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,USA,USA,China,CHN
2009,40,156,848620,11352.33,43.326,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Austria,AUT,China,CHN
2009,56,156,848620,257.356,1.3,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Belgium,BEL,China,CHN
2009,124,156,848620,11.575,0.051,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,Canada,CAN,China,CHN
